"variavel","subvariavel","valor"
"device","mobile Web","59.01%"
"device","Desktop","40.99%"
"num visita","oct/22","234100000"
"num visita","Nov-22","244100000"
"num visita","dec/22","256700000"
"num visita","Jan-23","261500000"
"num visita","Feb-23","22400000"
"num visita","Mar-23","24800000"
"country","Brazil","97.39%"
"country","United States","0.70%"
"country","China","0.66%"
"country","India","0.12%"
"country","Egypt","0.10%"
"Marketing Channels","direto","37.08%"
"Marketing Channels","organic search","37.26%"
"Marketing Channels","social","5.09%"
"Marketing Channels","paid search","17.93%"
"Marketing Channels","referencias","1.49%"
"Marketing Channels","correio","0.91%"
"Marketing Channels","mostrar propagandas","0.24%"
"engagement","Monthly visits","248000000"
"engagement","Monthly unique visitors","60780000"
"engagement","Visits / Unique visitors","4.08"
"engagement","Visit duration","471.00"
"engagement","Pages per visit","7.27"
"engagement","Bounce rate","38.43%"
"Social Traffic","Youtube","43.25%"
"Social Traffic","Whatsapp","29.35%"
"Social Traffic","Facebook","15.89%"
"Social Traffic","Instagram","4.72%"
"Social Traffic","Twitter","2.16%"
"Social Traffic","Other","4.62%"
"Top publishers","youtube.com","33.87%"
"Top publishers","globo.com","9.33%"
"Top publishers","google.com","7.37%"
"Top publishers","webstech.online","4.49%"
"Top publishers","uol.com.br","2.69%"
"Display Ad Network","Google Display","90.78%"
"Display Ad Network","Criteo","4.34%"
"Display Ad Network","Taboola","3.17%"
"Display Ad Network","others","1.72%"
"Top Link Destinations","mercadolibre.com","65.16%"
"Top Link Destinations","mercadopago.com.ar","7.17%"
"Top Link Destinations","mlstatic.com","7.24%"
"Top Link Destinations","google.com","2.47%"
"Top Link Destinations","starplus.com","2.11%"
"Advertisers","Outgoing ads","124000"
